idDonacion,fechaSolicitud,fechaAprobacion,estado,puntosAsignados,idUsuario
1,2025-04-15,2025-04-24,PENDIENTE,44,10
2,2025-02-10,2025-02-14,APROBADO,36,9
3,2025-02-23,2025-03-03,APROBADO,16,3
4,2025-02-06,2025-02-13,APROBADO,15,1
5,2025-03-17,2025-03-20,APROBADO,30,15
6,2025-02-17,2025-02-24,PENDIENTE,24,3
7,2025-01-30,2025-02-02,PENDIENTE,57,19
8,2025-02-17,2025-02-20,APROBADO,26,2
9,2025-03-20,2025-03-26,PENDIENTE,55,7
10,2025-01-31,2025-02-04,PENDIENTE,55,18
11,2025-03-07,2025-03-17,PENDIENTE,40,6
12,2025-04-06,2025-04-13,PENDIENTE,32,11
13,2025-03-07,2025-03-11,APROBADO,30,4
14,2025-03-11,2025-03-12,APROBADO,38,7
15,2025-03-01,2025-03-07,APROBADO,39,8
