idEjemplar,idDonacion,idLibro,calidad,disponibilidad,tipoEjemplar,formato,tamanioArchivo
1,6,18,NUEVO,1,DIGITAL,PDF,3364
2,6,42,USADO,1,FISICO,,
3,1,8,USADO,1,FISICO,,
4,2,39,USADO,1,DIGITAL,EPUB,413
5,12,21,USADO,1,FISICO,,
6,4,17,NUEVO,1,DIGITAL,EPUB,4823
7,1,34,NUEVO,1,FISICO,,
8,7,5,USADO,1,FISICO,,
9,11,8,USADO,1,FISICO,,
10,11,27,USADO,1,FISICO,,
11,12,19,NUEVO,1,FISICO,,
12,11,48,NUEVO,1,DIGITAL,EPUB,3205
13,7,36,NUEVO,1,FISICO,,
14,5,14,USADO,1,FISICO,,
15,8,29,USADO,1,FISICO,,
16,11,6,USADO,1,DIGITAL,EPUB,1490
17,2,49,NUEVO,1,FISICO,,
18,4,13,NUEVO,1,FISICO,,
19,8,40,NUEVO,1,DIGITAL,PDF,2105
20,7,41,NUEVO,1,FISICO,,
21,8,26,NUEVO,1,FISICO,,
22,13,28,NUEVO,1,DIGITAL,PDF,973
23,9,16,NUEVO,1,DIGITAL,EPUB,511
24,3,30,USADO,1,FISICO,,
25,10,47,USADO,1,FISICO,,
26,15,11,USADO,1,FISICO,,
27,5,49,NUEVO,1,FISICO,,
28,13,50,USADO,1,FISICO,,
29,2,46,USADO,1,DIGITAL,EPUB,3703
30,6,35,NUEVO,1,DIGITAL,EPUB,2851
31,7,45,NUEVO,1,DIGITAL,PDF,1994
32,7,22,USADO,1,DIGITAL,PDF,3498
33,1,14,USADO,1,FISICO,,
34,15,50,NUEVO,1,FISICO,,
35,8,1,USADO,1,FISICO,,
36,13,25,USADO,1,FISICO,,
37,5,28,USADO,1,DIGITAL,EPUB,1897
38,11,44,USADO,1,DIGITAL,EPUB,2853
39,10,35,NUEVO,1,DIGITAL,EPUB,1145
40,10,37,NUEVO,1,FISICO,,
41,14,30,NUEVO,1,DIGITAL,EPUB,1211
42,6,14,USADO,1,DIGITAL,EPUB,3205
43,6,49,USADO,1,FISICO,,
44,13,27,USADO,1,FISICO,,
45,12,35,NUEVO,1,DIGITAL,EPUB,258
46,4,42,NUEVO,1,FISICO,,
47,4,2,NUEVO,1,DIGITAL,PDF,2125
48,11,8,NUEVO,1,DIGITAL,PDF,3979
49,12,17,USADO,1,FISICO,,
50,5,7,NUEVO,1,DIGITAL,PDF,1441
