idIntercambio,tipoIntercambio,estado,idUsuarioSolicitante,idUsuarioOferente,fechaPropuesta,fechaAprobacion,fechaInicio,fechaFin
1,TEMPORAL,APROBADO,10,19,,,2025-03-07,2025-03-14
2,TEMPORAL,APROBADO,13,20,,,2025-03-05,2025-03-12
3,TEMPORAL,APROBADO,7,3,,,2025-03-13,2025-03-20
4,TEMPORAL,APROBADO,8,4,,,2025-03-06,2025-03-13
5,TEMPORAL,APROBADO,10,4,,,2025-02-28,2025-03-07
6,TEMPORAL,APROBADO,19,2,,,2025-03-28,2025-04-04
7,TEMPORAL,APROBADO,18,14,,,2025-03-08,2025-03-15
8,TEMPORAL,APROBADO,12,3,,,2025-03-18,2025-03-25
9,TEMPORAL,APROBADO,11,1,,,2025-03-24,2025-03-31
10,TEMPORAL,APROBADO,16,4,,,2025-03-23,2025-03-30
11,PERMANENTE,APROBADO,12,15,2025-03-05,2025-03-10,,
12,PERMANENTE,APROBADO,5,14,2025-04-08,2025-04-13,,
13,PERMANENTE,APROBADO,17,9,2025-03-11,2025-03-16,,
14,PERMANENTE,APROBADO,18,16,2025-03-21,2025-03-26,,
15,PERMANENTE,APROBADO,14,19,2025-04-02,2025-04-07,,
16,PERMANENTE,APROBADO,11,8,2025-04-14,2025-04-19,,
17,PERMANENTE,APROBADO,9,15,2025-04-04,2025-04-09,,
18,PERMANENTE,APROBADO,15,19,2025-03-11,2025-03-16,,
19,PERMANENTE,APROBADO,13,11,2025-04-18,2025-04-23,,
20,PERMANENTE,APROBADO,16,11,2025-04-08,2025-04-13,,
21,PERMANENTE,APROBADO,16,7,2025-03-28,2025-04-02,,
22,PERMANENTE,APROBADO,9,11,2025-04-02,2025-04-07,,
23,PERMANENTE,APROBADO,20,9,2025-03-15,2025-03-20,,
24,PERMANENTE,APROBADO,1,17,2025-04-07,2025-04-12,,
25,PERMANENTE,APROBADO,3,8,2025-03-04,2025-03-09,,
26,PERMANENTE,APROBADO,14,16,2025-03-15,2025-03-20,,
27,PERMANENTE,APROBADO,8,16,2025-03-09,2025-03-14,,
28,PERMANENTE,APROBADO,16,15,2025-02-28,2025-03-05,,
29,PERMANENTE,APROBADO,1,3,2025-04-01,2025-04-06,,
30,PERMANENTE,APROBADO,8,13,2025-03-06,2025-03-11,,
