idIntercambio,idEjemplar,rol
1,16,ENTREGADO
1,20,RECIBIDO
2,43,ENTREGADO
2,38,RECIBIDO
3,24,ENTREGADO
3,31,RECIBIDO
4,36,ENTREGADO
4,34,RECIBIDO
5,23,ENTREGADO
5,28,RECIBIDO
6,48,ENTREGADO
6,36,RECIBIDO
7,22,ENTREGADO
7,23,RECIBIDO
8,45,ENTREGADO
8,30,RECIBIDO
9,18,ENTREGADO
9,20,RECIBIDO
10,17,ENTREGADO
10,15,RECIBIDO
11,8,ENTREGADO
11,47,RECIBIDO
12,13,ENTREGADO
12,21,RECIBIDO
13,8,ENTREGADO
13,48,RECIBIDO
14,35,ENTREGADO
14,49,RECIBIDO
15,45,ENTREGADO
15,12,RECIBIDO
16,13,ENTREGADO
16,14,RECIBIDO
17,48,ENTREGADO
17,31,RECIBIDO
18,18,ENTREGADO
18,47,RECIBIDO
19,38,ENTREGADO
19,49,RECIBIDO
20,34,ENTREGADO
20,39,RECIBIDO
21,19,ENTREGADO
21,7,RECIBIDO
22,13,ENTREGADO
22,19,RECIBIDO
23,15,ENTREGADO
23,24,RECIBIDO
24,12,ENTREGADO
24,20,RECIBIDO
25,1,ENTREGADO
25,46,RECIBIDO
26,35,ENTREGADO
26,9,RECIBIDO
27,18,ENTREGADO
27,3,RECIBIDO
28,4,ENTREGADO
28,36,RECIBIDO
29,19,ENTREGADO
29,45,RECIBIDO
30,9,ENTREGADO
30,41,RECIBIDO
