idLibro,isbn,titulo,afinidad,leido
1,ISBN00001,Título del Libro 1,4,0
2,ISBN00002,Título del Libro 2,2,1
3,ISBN00003,Título del Libro 3,5,0
4,ISBN00004,Título del Libro 4,4,0
5,ISBN00005,Título del Libro 5,5,1
6,ISBN00006,Título del Libro 6,3,0
7,ISBN00007,Título del Libro 7,1,1
8,ISBN00008,Título del Libro 8,3,0
9,ISBN00009,Título del Libro 9,1,0
10,ISBN00010,Título del Libro 10,4,0
11,ISBN00011,Título del Libro 11,1,1
12,ISBN00012,Título del Libro 12,1,0
13,ISBN00013,Título del Libro 13,2,1
14,ISBN00014,Título del Libro 14,4,0
15,ISBN00015,Título del Libro 15,3,1
16,ISBN00016,Título del Libro 16,2,0
17,ISBN00017,Título del Libro 17,5,1
18,ISBN00018,Título del Libro 18,3,1
19,ISBN00019,Título del Libro 19,4,1
20,ISBN00020,Título del Libro 20,1,0
21,ISBN00021,Título del Libro 21,2,0
22,ISBN00022,Título del Libro 22,3,0
23,ISBN00023,Título del Libro 23,5,0
24,ISBN00024,Título del Libro 24,5,0
25,ISBN00025,Título del Libro 25,1,0
26,ISBN00026,Título del Libro 26,5,0
27,ISBN00027,Título del Libro 27,2,0
28,ISBN00028,Título del Libro 28,1,1
29,ISBN00029,Título del Libro 29,1,0
30,ISBN00030,Título del Libro 30,3,1
31,ISBN00031,Título del Libro 31,2,0
32,ISBN00032,Título del Libro 32,5,1
33,ISBN00033,Título del Libro 33,2,1
34,ISBN00034,Título del Libro 34,4,0
35,ISBN00035,Título del Libro 35,1,0
36,ISBN00036,Título del Libro 36,5,1
37,ISBN00037,Título del Libro 37,3,1
38,ISBN00038,Título del Libro 38,4,1
39,ISBN00039,Título del Libro 39,5,0
40,ISBN00040,Título del Libro 40,5,0
41,ISBN00041,Título del Libro 41,1,1
42,ISBN00042,Título del Libro 42,5,1
43,ISBN00043,Título del Libro 43,1,0
44,ISBN00044,Título del Libro 44,2,0
45,ISBN00045,Título del Libro 45,4,1
46,ISBN00046,Título del Libro 46,2,1
47,ISBN00047,Título del Libro 47,2,1
48,ISBN00048,Título del Libro 48,3,0
49,ISBN00049,Título del Libro 49,1,1
50,ISBN00050,Título del Libro 50,4,0
